                     N              trapezio               simpson                 boole
                    12     0.019710331855558     0.000001272810891     0.000000000105337
  
                    24     0.004881338378028     0.000000079451927     0.000000000001644
  
                    48     0.001212700858977     0.000000004964203     0.000000000000026
  
                    96     0.000302108919811     0.000000000310239     0.000000000000001
  
                   192     0.000075387064086     0.000000000019387     0.000000000000002
  
                   384     0.000018828819410     0.000000000001215     0.000000000000004
  
                   768     0.000004704935050     0.000000000000067     0.000000000000010
  
                  1536     0.000001175948364     0.000000000000025     0.000000000000019
  
                  3072     0.000000293951358     0.000000000000037     0.000000000000038
  
                  6144     0.000000073483274     0.000000000000073     0.000000000000073
  
                exatos         0.82228543287         0.82228543287         0.82228543287
